yyyyq,y,dp,dy,ep,bm,ntis,tbl,ltr,tms,dfy,infl,ik
19954,0.01691068484003190,-1.650030083,-1.627216364,-1.258563676,0.255026383,0.015528785,0.0514,0.083728932,0.0089,-0.0067,0.001958225,0.037068209
19961,0.01478503671223370,-1.660553947,-1.640189058,-1.277906695,0.239299615,0.016894007,0.0496,-0.069310586,0.0188,-0.0068,0.014332248,0.037531773
19962,0.01085425680478970,-1.671967711,-1.655380981,-1.283533128,0.236443725,0.027193741,0.0509,-0.001953661,0.0194,-0.0069,0.006422608,0.038133493
19963,0.00520042729820705,-1.670900211,-1.660230525,-1.280850162,0.227297318,0.029553714,0.0509,0.016523354,0.0195,-0.0069,0.007019783,0.038890044
19964,0.02669482648397650,-1.696508677,-1.663995543,-1.2816183,0.20734273,0.024097561,0.0491,0.049348938,0.0182,-0.0069,0.005069708,0.039388016
19971,0.00385848943269575,-1.701368585,-1.691869664,-1.274506747,0.214780202,0.021119839,0.0514,-0.03241737,0.0209,-0.0063,0.008827238,0.039816332
19972,0.06134978390046350,-1.766284119,-1.698436871,-1.339021109,0.184287615,0.010847478,0.0493,0.055638573,0.0195,-0.0061,0.001875,0.04020918
19973,0.02372257798102650,-1.790851232,-1.761384832,-1.367524669,0.177967857,0.014650639,0.0495,0.061429312,0.0154,-0.0055,0.005614473,0.041631676
19974,0.00482646648136700,-1.796716581,-1.786230735,-1.387954974,0.178800884,0.015578728,0.0516,0.068713726,0.0086,-0.0056,0.000620347,0.041289213
19981,0.04893320826382630,-1.847818543,-1.792699698,-1.445046394,0.181140396,0.016505113,0.0503,0.01518764,0.0099,-0.006,0.005579665,0.041993752
19982,0.00703977342346295,-1.851791087,-1.839322372,-1.463821368,0.178060606,0.024030588,0.0498,0.044122639,0.0078,-0.006,0.004932182,0.042566407
19983,-0.05143050695041630,-1.799340976,-1.846567527,-1.426514251,0.203248404,0.024092522,0.0461,0.083485403,0.0056,-0.0069,0.003680982,0.042231407
